sample,frac,seed,method,P,R,F1,F1_oracle
PU-pig,0.05,19,SOR,1.0,0.66,0.7951807228915663,0.9109947643979057
PU-pig,0.05,19,LOF,1.0,0.716,0.8344988344988344,0.8942408376963351
PU-pig,0.05,101,Calibrated,1.0,0.836,0.9106753812636166,0.9256544502617801
PU-pig,0.05,101,SOR,1.0,0.7,0.8235294117647058,0.9151832460732984
PU-pig,0.05,101,LOF,1.0,0.754,0.8597491448118586,0.9026178010471204
PU-pig,0.15,7,Calibrated,1.0,0.6773333333333333,0.8076311605723371,0.9164926931106472
PU-pig,0.15,7,SOR,1.0,0.5986666666666667,0.7489574645537949,0.9318023660403618
PU-pig,0.15,7,LOF,1.0,0.4613333333333333,0.6313868613138686,0.8796102992345163
PU-pig,0.15,19,Calibrated,1.0,0.664,0.798076923076923,0.9088378566457899
PU-pig,0.15,19,SOR,1.0,0.5806666666666667,0.7347110923660902,0.9234516353514266
PU-pig,0.15,19,LOF,1.0,0.45066666666666666,0.6213235294117646,0.8710374639769453
PU-pig,0.15,101,Calibrated,1.0,0.6713333333333333,0.8033506182688472,0.9088378566457899
PU-pig,0.15,101,SOR,1.0,0.584,0.7373737373737373,0.919276270006959
