k,gap_e0,gap_e03,pred
8,0.058458333333333334,0.041124999999999995,0.35355339059327373
12,0.03170833333333334,0.008583333333333333,0.2886751345948129
16,0.02070833333333334,0.0008333333333333335,0.25
24,0.00904166666666667,8.333333333333333e-05,0.20412414523193154
32,0.002166666666666666,0.0,0.17677669529663687
