shape,sigma,noise,seed,method,overall,near,smooth,time
step,0.5,gauss,101,Prior-v2,46.64528086600433,33.063779418516745,48.991591888195515,4.660860538482666
step,1.0,gauss,7,Bilateral,6.904273595119292,6.11024584655585,7.005831352245728,0.7122213840484619
step,1.0,gauss,7,MLS,20.262017501932984,17.746142081587134,20.587980234544524,0.5499019622802734
step,1.0,gauss,7,GLR,28.42196156867417,24.680423937883145,28.91234709422532,0.6180291175842285
step,1.0,gauss,7,Prior-v1,5.112127567146585,4.416776599477168,5.201004325325087,4.535486936569214
step,1.0,gauss,7,Prior-v2,35.34076410759576,30.07894277447891,36.0415887012178,4.560600280761719
step,1.0,gauss,19,Bilateral,6.996841725986447,5.9705571957894605,7.146818593867332,0.7161679267883301
step,1.0,gauss,19,MLS,20.336154878561786,17.184159536543618,20.80430798255871,0.5745546817779541
step,1.0,gauss,19,GLR,28.494586760723138,23.62836020358383,29.229061653964205,0.6526899337768555
step,1.0,gauss,19,Prior-v1,5.22698673424824,4.139478811445496,5.3859504420160516,4.543153285980225
step,1.0,gauss,19,Prior-v2,37.35457260811813,31.8319000792177,38.19757949167931,4.5270984172821045
step,1.0,gauss,101,Bilateral,6.9265265443876896,6.31661387507333,7.011092343785618,0.7140021324157715
step,1.0,gauss,101,MLS,20.084158596583933,17.789323096404676,20.406360595443594,0.5669682025909424
step,1.0,gauss,101,GLR,28.085590492426917,24.6839011572176,28.56822173092072,0.6158945560455322
step,1.0,gauss,101,Prior-v1,5.106785753279242,4.162668142183989,5.2379424734828595,4.582919597625732
step,1.0,gauss,101,Prior-v2,36.74639276731986,30.99971767003158,37.58179636286128,4.624764919281006
corner,0.5,gauss,7,Bilateral,11.06011952650765,9.561702451771904,11.292651409443256,0.7045187950134277
corner,0.5,gauss,7,MLS,30.13758483405735,26.18235429372785,30.76548323830699,0.5571177005767822
corner,0.5,gauss,7,GLR,40.8412467732355,34.486435051926314,41.879468320289334,0.6166861057281494
corner,0.5,gauss,7,Prior-v1,10.064204027832757,8.68422379397954,10.278171432766058,4.74479079246521
corner,0.5,gauss,7,Prior-v2,45.50896806893333,35.3178510845661,47.249475305476615,4.653703451156616
corner,0.5,gauss,19,Bilateral,10.76966733485374,9.262281472196577,11.02551958054917,0.7118496894836426
corner,0.5,gauss,19,MLS,29.14064977464934,25.639089415443593,29.74628400287157,0.548337459564209
corner,0.5,gauss,19,GLR,39.46377858161547,33.949558803982995,40.44064191969877,0.6147425174713135
corner,0.5,gauss,19,Prior-v1,9.673154489339275,8.134375550092198,9.934356802219302,4.726311206817627
corner,0.5,gauss,19,Prior-v2,42.98066552273553,35.14797971046725,44.405317237713774,4.742510557174683
corner,0.5,gauss,101,Bilateral,10.798500045833459,9.320374133696474,11.046582847169207,0.7201566696166992
corner,0.5,gauss,101,MLS,29.38597083437977,25.773601882906117,30.004506300924373,0.5692002773284912
corner,0.5,gauss,101,GLR,39.86677367502146,34.14971838241384,40.87064798073755,0.6193206310272217
corner,0.5,gauss,101,Prior-v1,9.658973684789085,8.204928976703762,9.902947397658423,4.7082765102386475
corner,0.5,gauss,101,Prior-v2,46.70063102308498,36.71062381767592,48.54889446693902,4.71662163734436
corner,1.0,gauss,7,Bilateral,5.52193226646841,4.9210128821379095,5.608328551453933,0.7144181728363037
corner,1.0,gauss,7,MLS,16.284694076034878,14.270078256286656,16.57727606361581,0.5723474025726318
corner,1.0,gauss,7,GLR,23.104058516921555,20.04477227365944,23.552332440758605,0.6316592693328857
corner,1.0,gauss,7,Prior-v1,3.4424617278271508,2.8412318703796458,3.528896053186248,4.47597074508667
corner,1.0,gauss,7,Prior-v2,30.01299916151805,24.78102869325832,30.79487243823511,4.46697211265564
corner,1.0,gauss,19,Bilateral,5.444024297612138,4.756307185486364,5.552454794001993,0.7259995937347412
corner,1.0,gauss,19,MLS,15.980403752994455,14.005212614873152,16.294753750463855,0.5850484371185303
corner,1.0,gauss,19,GLR,22.606598225662456,19.58206191659042,23.092271227086904,0.6126337051391602
corner,1.0,gauss,19,Prior-v1,3.4907595072642184,2.6329890522630794,3.6261279871750762,4.5244362354278564
corner,1.0,gauss,19,Prior-v2,29.775348168068138,25.604422422393856,30.452924507440503,4.489670753479004
corner,1.0,gauss,101,Bilateral,5.402565575000251,4.833874976514608,5.489175253076118,0.7255692481994629
corner,1.0,gauss,101,MLS,16.188875999888907,14.406739934135903,16.46267500617181,0.57065749168396
corner,1.0,gauss,101,GLR,22.846049664290614,20.432223174407028,23.21903019455087,0.619502067565918
corner,1.0,gauss,101,Prior-v1,3.4213443006987143,2.763068051930362,3.5216439380650333,4.424293518066406
corner,1.0,gauss,101,Prior-v2,31.27755353342485,27.285247509423282,31.90392306830073,4.418769836425781
cross,0.5,gauss,7,Bilateral,13.902384892781583,12.19194603631557,14.067072253348556,0.691673994064331
cross,0.5,gauss,7,MLS,35.07336901522697,29.623624346785714,35.616488706047576,0.5554778575897217
cross,0.5,gauss,7,GLR,45.2512188492358,34.87085400810939,46.34454598853524,0.6171581745147705
cross,0.5,gauss,7,Prior-v1,12.792201822394434,11.424141043645598,12.923624548544932,4.698711633682251
cross,0.5,gauss,7,Prior-v2,44.751824694535856,32.69135743816028,46.040948915627,4.65503716468811
cross,0.5,gauss,19,Bilateral,13.87767964278429,11.81675452606392,14.106413009538999,0.7049603462219238
