shape,method,acc,comp,chamfer,normal_cons
airplane,Noisy,71.15692925410963,6.327419013796351,38.74217413395299,0.5941856585954823
airplane,Bilateral,99.76739286257315,6.45344974434674,53.110421303459944,0.5396459013843035
airplane,MLS,74.07759615432032,6.551612185814324,40.31460417006732,0.5581619184757103
airplane,GLR,128.9130194518496,6.184244864449236,67.54863215814942,0.49317299382548374
airplane,Prior-v2,109.5441041576707,6.479383004612438,58.01174358114157,0.5117279100574748
chair,Noisy,74.22180538345853,6.783236560515831,40.50252097198718,0.5382177076087232
chair,Bilateral,58.38296691771224,6.497142029630431,32.44005447367133,0.5554306724890357
chair,MLS,82.64271375171359,6.331327444712167,44.48702059821288,0.5147649551701109
chair,GLR,55.673997816289216,5.6906551815707145,30.682326498929964,0.5713526002369642
chair,Prior-v2,52.38327486684856,5.623106019551453,29.003190443200005,0.5754220915477236
car,Noisy,61.116885024432115,10.435383593509542,35.77613430897083,0.5941830099184773
car,Bilateral,65.6941977429115,10.386527929942385,38.04036283642694,0.588832865925827
car,MLS,55.637989546091184,10.209766175042423,32.923877860566805,0.6178556828922752
car,GLR,12.78203897384515,10.379704176380251,11.5808715751127,0.6777756043620754
car,Prior-v2,48.62916414398804,10.028869623427884,29.32901688370796,0.642882651825193
table,Noisy,82.7079818887185,10.78649556768843,46.74723872820346,0.5335769533839035
table,Bilateral,93.68047960471773,10.504318303100714,52.09239895390922,0.5123504479292235
table,MLS,87.03014763564248,10.60593667102691,48.8180421533347,0.5571759016123083
table,GLR,115.88513527135201,10.659953957276675,63.27254461431435,0.5404637733760332
table,Prior-v2,77.62528822175116,10.263017721579063,43.94415297166511,0.5475646109117803
guitar,Noisy,149.17135514617908,6.74626592558913,77.9588105358841,0.4534543978959836
guitar,Bilateral,192.25021322805014,6.7466398437805974,99.49842653591537,0.49982591696563644
guitar,MLS,201.15648374972423,6.28336258931017,103.7199231695172,0.48048555345932736
guitar,GLR,77.68537116357994,6.380579325268253,42.0329752444241,0.576057953915256
guitar,Prior-v2,29.4048584221432,6.138585040120904,17.77172173113205,0.5837416258074928
cone,Noisy,135.34947197243213,9.667589419373186,72.50853069590265,0.454110713512117
cone,Bilateral,42.781078025240895,9.44523866097575,26.11315834310832,0.6425238556836449
cone,MLS,15.612875030000454,9.289374280434576,12.451124655217516,0.684606308120849
cone,GLR,25.007362419580865,9.382578154877418,17.19497028722914,0.6817386271009109
cone,Prior-v2,8.012025923712685,9.425594858184773,8.718810390948729,0.7323600415742191
bottle,Noisy,16.65026323272246,6.483403999995665,11.56683361635906,0.730543312119354
bottle,Bilateral,53.099178712849564,6.387366950680903,29.743272831765236,0.7193866497974917
bottle,MLS,9.124969018711505,5.720914647039912,7.422941832875709,0.7860292416291675
bottle,GLR,14.224322476467414,5.545756215176941,9.885039345822179,0.7974933019413354
bottle,Prior-v2,9.998793206325674,5.113281024423975,7.556037115374824,0.8249114590830242
piano,Noisy,15.334336847951267,7.933536517533228,11.633936682742247,0.7372492140823405
piano,Bilateral,13.663191098834329,7.808984581396703,10.736087840115516,0.7532384926671802
piano,MLS,13.235375829685317,7.745942908258744,10.49065936897203,0.7757262773724709
piano,GLR,16.094842626421325,7.562495194673492,11.828668910547409,0.7629964543608811
piano,Prior-v2,13.263669632273766,7.328790413409861,10.296230022841813,0.8010420011063758
