reln,e_near,along,cross,ratio
0.5,0.3025467889845557,0.30433755932007517,0.24789073583459978,0.8145256089600507
0.25,0.5353417801353584,0.13427776557667256,0.10571407876652804,0.7872791024822745
0.125,0.7528969570347424,0.041632347688135875,0.03319863934591424,0.7974241470743428
0.0625,0.872929536826038,0.01801942633160066,0.016214020363362554,0.8998077999257963
