scene,method,mean,med,lt5,lt10,lt20,mean_planar,mean_edge
09c1414f1b,Noisy,28.000491532781716,16.659916337829664,14.790000000000001,33.96,55.089999999999996,15.251953067517674,47.92290027700708
09c1414f1b,Bilateral,27.23749709939846,15.33554854919674,17.8,37.769999999999996,57.24,13.986380659198552,47.81525894450704
09c1414f1b,MLS,26.29039936386881,12.975860648413423,23.48,43.16,59.17,12.162641685486957,48.124496559243475
09c1414f1b,GLR,25.868920648037236,12.013533729309827,27.43,45.83,59.79,11.489889097632467,48.29649425355971
09c1414f1b,Prior-v2,26.323192712776212,13.499165790283403,23.27,42.46,58.60999999999999,12.709269174001255,47.357552625609976
21d970d8de,Noisy,25.18129733280707,15.62673177703766,15.260000000000002,33.660000000000004,58.25,20.721947423834656,47.72323577998985
21d970d8de,Bilateral,24.069950764759696,14.200185912862695,17.630000000000003,37.38,61.45,19.422325375233278,47.5505461047602
21d970d8de,MLS,21.91816873381791,11.502630011020045,22.54,45.08,67.11,16.786124250364065,47.48288443596156
21d970d8de,GLR,20.72036859815723,10.01293103898914,27.01,49.95,69.61,15.389847261363549,47.15099316753147
21d970d8de,Prior-v2,23.133659255697786,12.727428156744677,21.37,41.92,63.21,18.43285954814704,46.5020900203719
25f3b7a318,Noisy,21.34917400114457,12.018032642506409,21.65,43.93,65.03,10.677469940533598,41.56828636645262
25f3b7a318,Bilateral,20.650213124833897,10.952296178699434,25.34,47.160000000000004,66.36999999999999,9.650684790224375,41.43169355351888
25f3b7a318,MLS,19.87244808047784,9.94132293128402,29.970000000000002,50.160000000000004,67.72,8.575183762145366,41.1943061006493
25f3b7a318,GLR,19.573713052565324,9.540876142320652,32.93,51.21,68.07,7.946159143824946,41.43420109899535
25f3b7a318,Prior-v2,20.4300086246574,10.575562859643195,27.72,48.46,66.25,9.352721843523648,41.109865185762445
5748ce6f01,Noisy,24.270670968094947,15.927709579518208,13.04,31.71,58.76,17.24228044790637,41.95622579785135
5748ce6f01,Bilateral,23.046012866104615,14.719395232238933,15.290000000000001,35.31,61.95,16.040252913765233,41.316860282222265
5748ce6f01,MLS,21.20607468521841,12.458251188005008,18.48,41.15,66.92,14.001771847904498,40.34796046277001
5748ce6f01,GLR,20.47034501202626,11.5374734485222,21.04,44.61,68.91000000000001,13.084354900951713,40.48916309797772
5748ce6f01,Prior-v2,21.681519868541752,13.007691906509002,18.25,40.43,65.3,14.86898437610598,40.11434514506077
5942004064,Noisy,23.58427549399422,14.757145521808162,20.0,38.99,59.07,10.583351082706011,37.677568893866905
