obj,scan,method,conv,n,raw_rmse_um,RMSE,MAE,disp_med_um
bunny,bun000.ply,Bilateral,A,40256,251.18638787486665,2.2545948423421502,2.481431613266505,15.662027950351051
bunny,bun000.ply,MLS,A,40256,251.18638787486665,3.816398582131675,4.226686493270726,36.08756824626872
bunny,bun000.ply,GLR,A,40256,251.18638787486665,3.768824239926216,4.123268057252638,49.654049047697676
bunny,bun000.ply,AdaWave,A,40256,251.18638787486665,0.6841936698703588,0.9221369663951262,7.617731501074064
bunny,bun180.ply,Bilateral,C,40251,259.569641386349,1.987444168905761,2.1033292190642427,14.97914645966144
bunny,bun180.ply,MLS,C,40251,259.569641386349,3.2470867887544164,3.427986304026631,33.845285205503046
bunny,bun180.ply,GLR,C,40251,259.569641386349,3.2077527146384344,3.301672017935642,45.19508670106881
bunny,bun180.ply,AdaWave,C,40251,259.569641386349,0.6778381355326046,0.9495874761024647,8.904397909795197
bunny,bun045.ply,Bilateral,C,40097,252.5711224839163,2.1758974777496,2.3518566086880632,14.651381570729296
bunny,bun045.ply,MLS,C,40097,252.5711224839163,3.813385112226264,4.072987584876575,33.39617955779942
bunny,bun045.ply,GLR,C,40097,252.5711224839163,3.9734833714484386,4.09849078316612,45.55327449575351
bunny,bun045.ply,AdaWave,C,40097,252.5711224839163,0.5847177944042659,0.8386888013583227,6.975524683101012
dragon,dragonStandRight_168.ply,Bilateral,C,44329,295.8665689321074,0.3735024216264926,0.2768157986186237,12.812149560767587
dragon,dragonStandRight_168.ply,MLS,C,44329,295.8665689321074,-0.10498285494766613,-0.3853441842154304,30.93762366614723
dragon,dragonStandRight_168.ply,GLR,C,44329,295.8665689321074,-1.2635713720813069,-1.7501292924966938,45.707145597019846
dragon,dragonStandRight_168.ply,AdaWave,C,44329,295.8665689321074,0.03287525809270164,0.038397407466850275,0.4585622520995896
dragon,dragonStandRight_336.ply,Bilateral,C,43467,315.0044429783808,0.640617101444918,0.5518333444211487,13.25017227554021
dragon,dragonStandRight_336.ply,MLS,C,43467,315.0044429783808,0.6004697863408404,0.38737914499171744,31.961236083055272
dragon,dragonStandRight_336.ply,GLR,C,43467,315.0044429783808,-0.10448764382675613,-0.4399956628377666,46.873600874055
dragon,dragonStandRight_336.ply,AdaWave,C,43467,315.0044429783808,0.02635212685462296,0.03245492711422271,0.6757897719604055
dragon,dragonStandRight_144.ply,Bilateral,C,43181,303.2501714185955,0.42034042530747495,0.2889888851137057,12.361619246269358
dragon,dragonStandRight_144.ply,MLS,C,43181,303.2501714185955,0.13216834182167014,-0.18194997513152344,29.848365272526927
dragon,dragonStandRight_144.ply,GLR,C,43181,303.2501714185955,-0.7786653240052788,-1.265795869378028,44.22796409396374
dragon,dragonStandRight_144.ply,AdaWave,C,43181,303.2501714185955,0.04039100948735053,0.04439290062281387,0.612916777122409
happy,happyStandRight_144.ply,Bilateral,C,60000,267.1409301305272,0.6133896393970995,0.6272435189045189,7.331522906573262
happy,happyStandRight_144.ply,MLS,C,60000,267.1409301305272,0.9561008717917985,0.9537464874198487,17.693720889726443
happy,happyStandRight_144.ply,GLR,C,60000,267.1409301305272,0.7586875118437253,0.6446802616916547,26.548311758986355
happy,happyStandRight_144.ply,AdaWave,C,60000,267.1409301305272,0.011095807964367488,0.018153204430382264,0.06401652928356519
happy,happyStandRight_168.ply,Bilateral,C,60000,272.2525016364587,0.7692887743383503,0.8574508136796166,8.512087564213903
happy,happyStandRight_168.ply,MLS,C,60000,272.2525016364587,1.3449521118108598,1.4859782134522326,20.339799885697694
happy,happyStandRight_168.ply,GLR,C,60000,272.2525016364587,1.2419694316167962,1.2457455678767548,29.760200901315297
happy,happyStandRight_168.ply,AdaWave,C,60000,272.2525016364587,0.034980040031085124,0.05724591554960856,0.31400003137380994
happy,happyStandRight_192.ply,Bilateral,C,60000,281.2779806339682,0.5519823498992937,0.5584408254633022,8.15996226356311
happy,happyStandRight_192.ply,MLS,C,60000,281.2779806339682,0.8310724995248764,0.7435207953976897,19.83561430389102
happy,happyStandRight_192.ply,GLR,C,60000,281.2779806339682,0.5872023270376059,0.2887567861047158,29.814483328569263
happy,happyStandRight_192.ply,AdaWave,C,60000,281.2779806339682,0.012060402588121022,0.021268141089958448,0.08282380365295422
