shape,noise,cd_noisy,cd_denoised,centroid_shift,scale_ratio,mean_disp
Icosahedron,0.01,2.3978110272965893,1.2438241322872134,0.000441170245823777,0.9775079807591323,0.011636638787417119
Icosahedron,0.02,5.124044003336765,1.9805836890451645,0.0005125661964536304,0.96879871362663,0.017924904096666035
Octahedron,0.01,2.0988045388810423,1.0714756414905318,0.0006204450219826496,0.9843982649851852,0.011715474463477933
Octahedron,0.02,4.43631376444545,1.5535682956193295,0.00048255418352897,0.9703887492629245,0.01645533688776371
camel,0.01,1.3245339496830464,0.6384395229405189,0.0004771073879552612,0.9820405623578182,0.010350978379855637
camel,0.02,2.9868273130590794,1.0192942751689553,0.0004849942037958747,0.9612150220286443,0.013458824693523452
casting,0.01,2.1207442338771365,1.3304533306246127,0.0005136276661647228,0.9892298723124244,0.010049798000116102
casting,0.02,3.948834426516039,2.3443662825398044,0.0007557721408246237,0.982755416189124,0.010440786863154455
chair,0.01,1.3891223305699096,0.9342932029895968,0.00048306722883944474,0.9921016298530354,0.010135034714884436
chair,0.02,2.873163000258001,1.2377363662397383,0.0003848432921751402,0.9757258383911515,0.012216576182799517
coverrear_Lp,0.01,2.101725671833014,1.1058914249699057,0.0004027876053923804,0.9782607176369673,0.01127189908488534
coverrear_Lp,0.02,4.3943833552493885,1.674414379567179,0.0007637879311706007,0.9634408675157483,0.015874715081271584
cow,0.01,1.4406370414758056,0.6897241653138668,0.00041901815660454477,0.9863761935248,0.011325861615626777
cow,0.02,3.2254335600679003,1.0111779770367084,0.0003885656238475116,0.9787188945476261,0.014189314596557515
duck,0.01,2.127587016604918,1.1126402133579367,0.0005522168960191288,0.9907685492782786,0.011598269624863752
duck,0.02,4.482843967631579,1.5516185726872542,0.00045295669021851707,0.9790491491539346,0.016853487055769965
eight,0.01,1.6380037259254279,0.7608737646930727,0.00048137854158148075,0.9706910342513956,0.011549405354028038
eight,0.02,3.66033459247681,1.0032925093672327,0.00038385268147209627,0.9586322057061538,0.01606953787811057
elephant,0.01,1.473099934657213,0.6994455941370832,0.0005830543635688478,0.9768184787743563,0.010806604590901275
elephant,0.02,3.287035479330072,1.1249204012261411,0.0004357126407827007,0.9704601926565759,0.013678099203620871
elk,0.01,1.8635326844072688,0.9996827371948401,0.0005068592801705839,0.9951368937953661,0.01106088518424156
elk,0.02,3.8564548974359463,1.4466465026362232,0.0004417855754403297,0.9732671891468754,0.014578897137578432
fandisk,0.01,1.6599582050589619,0.7894547862130872,0.00047459327980955344,0.9853356571897955,0.01148123473468001
fandisk,0.02,3.583083633517469,1.1463704837688427,0.00045257781217939564,0.9806374085904068,0.015190796544755822
genus3,0.01,2.049611874179151,1.030879342864127,0.000495737342538199,0.9957459662367075,0.011354389084651669
genus3,0.02,4.33472516698993,1.5050478641844396,0.0004853040216726564,0.9804906466109621,0.016221664429946353
horse,0.01,1.2979985799929763,0.5671106085468871,0.0004485932978085404,0.9889623664159878,0.01106352911968577
horse,0.02,3.0661151078484754,0.8657723385209525,0.0002158404746935289,0.9640787618029699,0.01442019160205689
kitten,0.01,1.754950863581626,0.8658528968756712,0.0005193256819397594,0.9829968440769741,0.011551974965375906
kitten,0.02,3.855219038927577,1.2111522136847492,0.0004487560346055159,0.9568116740683155,0.016011916490915903
moai,0.01,1.7641770175385045,0.9152893819170418,0.00042758411285181194,0.9861037186486082,0.011791017964865596
moai,0.02,3.81202803406274,1.240013918784547,0.00036811196384453013,0.964414426926066,0.015919278001692773
pig,0.01,1.7466903260470612,0.8560700443087667,0.0004096422220483254,0.9831347972658385,0.011633671032524088
pig,0.02,3.8147481699936856,1.2104342564519703,0.0002783172416220631,0.9745940927509565,0.015610250209106368
quadric,0.01,1.5453202610282877,0.7544888033500995,0.00045642210702187975,0.9889173103808514,0.011268774590042106
quadric,0.02,3.297131083041805,1.096735083205807,0.0005356000973345418,0.9792254258494771,0.01458156414918651
sculpt,0.01,2.6667896815548677,1.4221470502796205,0.0005609158343731897,0.967660604535341,0.011475864932860234
sculpt,0.02,6.143184301184444,2.798231031152018,0.0006912539795396811,0.9425823171861899,0.018949025703968086
star,0.01,2.214712985886283,1.0947345046511177,0.00039904165304324095,0.9863694335544456,0.01143913078285062
star,0.02,4.658439866748124,1.6076018342117222,0.0004934295452304503,0.9671967709451448,0.01761273304591554
