regime,scene,tag,method,n,raw_rmse_cm,dRMSE,dMAE,disp_med_mm,disp_p95_mm,disp_med_sig,disp_med_ell,sigma_g_mm,ell_mm
laser,09c1414f1b,crop,Bilateral,10000,1.4798024956943177,0.4336442054334255,0.45079839033151936,0.4688785688508438,3.4513485142478557,0.4736039291034416,0.0274998250126569,0.9900225474582798,17.050238269063197
laser,09c1414f1b,crop,MLS,10000,1.4798024956943177,-0.7304086866610771,-1.4504838176643053,1.0762241559930008,8.568120532285295,1.0870703477097154,0.06312076927878685,0.9900225474582798,17.050238269063197
laser,09c1414f1b,crop,GLR,10000,1.4798024956943177,-2.658946897083947,-4.061706565982104,1.380636900591853,12.721316912146962,1.3945509652702965,0.08097463969262969,0.9900225474582798,17.050238269063197
laser,09c1414f1b,crop,Prior-v2,10000,1.4798024956943177,0.0312406023327938,0.05387579873022963,0.0013481864498511935,0.3787269713616402,0.0013617734787461833,7.907141404694261e-05,0.9900225474582798,17.050238269063197
iphone-fused,09c1414f1b,crop,Bilateral,10000,5.196604216626053,0.5865626439346405,1.5120502403788372,1.4367795541661197,2.9158749346718826,0.17198528149378786,0.09810122790236318,8.354084381610475,14.64588756725855
iphone-fused,09c1414f1b,crop,MLS,10000,5.196604216626053,1.278112841981327,3.200400766269973,4.76961008031844,7.106964602416661,0.5709315182698738,0.32566207121891516,8.354084381610475,14.64588756725855
iphone-fused,09c1414f1b,crop,GLR,10000,5.196604216626053,1.6195803528224362,3.821957335317294,5.862741766289899,10.27986504476751,0.7017814876868548,0.40029952018722215,8.354084381610475,14.64588756725855
iphone-fused,09c1414f1b,crop,Prior-v2,10000,5.196604216626053,0.46283663384329987,1.8921489326982566,1.5892381868445478,8.079763596899248,0.19023487363290725,0.10851088262406443,8.354084381610475,14.64588756725855
iphone-frame,09c1414f1b,frame_000000.jpg,Bilateral,12288,8.125061017500276,-0.027586744480156966,-0.11788687768961026,0.4181544317250724,3.72625984101626,0.4276226973304137,0.022176331573988108,0.9778583641792798,18.85588832886019
iphone-frame,09c1414f1b,frame_000000.jpg,MLS,12288,8.125061017500276,-0.11162965659003987,-0.3949877899688925,0.9529798349043918,9.408056130031385,0.9745581454730134,0.050540171761372425,0.9778583641792798,18.85588832886019
iphone-frame,09c1414f1b,frame_000000.jpg,GLR,12288,8.125061017500276,-0.21014456979735474,-0.6977699944373583,1.2940696286619329,13.416033830317646,1.323371231195306,0.06862947032904539,0.9778583641792798,18.85588832886019
iphone-frame,09c1414f1b,frame_000000.jpg,Prior-v2,12288,8.125061017500276,0.001844118613192336,0.003015075964651892,0.0010405308600916665,0.29432916294541833,0.0010640915874364856,5.518333805805805e-05,0.9778583641792798,18.85588832886019
iphone-frame,09c1414f1b,frame_001070.jpg,Bilateral,10094,3.436155091640456,0.055157586808607384,0.008067986959170437,0.13047779554835082,2.116290736312584,0.40451921516265793,0.010118255324390103,0.32255030231719956,12.895285931727303
iphone-frame,09c1414f1b,frame_001070.jpg,MLS,10094,3.436155091640456,0.024046597649429735,-0.09649995745888429,0.28227116598515517,5.725786235286268,0.8751229283686848,0.02188948484412985,0.32255030231719956,12.895285931727303
iphone-frame,09c1414f1b,frame_001070.jpg,GLR,10094,3.436155091640456,-0.03196486862497849,-0.20612685333267766,0.3509935145207588,7.166882985526768,1.088182249128403,0.02721874616443848,0.32255030231719956,12.895285931727303
iphone-frame,09c1414f1b,frame_001070.jpg,Prior-v2,10094,3.436155091640456,0.00029410042187150154,0.00025311209104206256,4.133177764668221e-05,0.039508434412406555,0.00012814056356981964,3.205185046869349e-06,0.32255030231719956,12.895285931727303
iphone-frame,09c1414f1b,frame_002200.jpg,Bilateral,11800,5.340687163732544,0.06693706652820541,0.05929529382764365,0.21286223148035138,2.405026528019056,0.5053181974839048,0.01769811668134879,0.4212439449735296,12.027394512941521
iphone-frame,09c1414f1b,frame_002200.jpg,MLS,11800,5.340687163732544,0.12184704174609262,0.0811467219196671,0.482966224136613,5.986968326058112,1.1465238343555018,0.040155515276129344,0.4212439449735296,12.027394512941521
