shape,noise,cd_noisy,cd_denoised,centroid_shift,scale_ratio,mean_disp
Icosahedron,0.01,2.3978110272965893,1.320079219100582,0.0004274237072939796,0.9734362082292162,0.008983593717542482
Icosahedron,0.02,5.124044003336765,2.2836840277073587,0.00019273522082246256,0.963694909374551,0.015785477276020005
Octahedron,0.01,2.0988045388810423,1.1615706272756101,0.00022744859214249063,0.9758771129993407,0.008413834688536272
Octahedron,0.02,4.43631376444545,1.690818654407627,0.0002848168934256823,0.960012377566732,0.015678180712131375
camel,0.01,1.3245339496830464,0.7036217118676685,0.0002274469523986789,0.9799010911585513,0.008227927386743519
camel,0.02,2.9868273130590794,1.0154984761012438,0.0005987932110249728,0.9503070073744281,0.015622545457179705
casting,0.01,2.1207442338771365,1.3496628297607334,0.0006570409655024534,0.9894720046448225,0.008708085026728667
casting,0.02,3.948834426516039,2.1759231964728056,0.0007684013438555231,0.9786367958238051,0.014643586840895836
chair,0.01,1.3891223305699096,0.8956787687018215,0.000376875333688072,0.9876354969403219,0.008623505430469736
chair,0.02,2.873163000258001,1.1689424847069423,0.0008412265529644077,0.9730029746859584,0.015439590654476767
coverrear_Lp,0.01,2.101725671833014,1.200261230758115,0.0002364044625600174,0.9735871900453286,0.008406094767319707
coverrear_Lp,0.02,4.3943833552493885,1.7508657145280613,0.0005606405469391804,0.9588392692988349,0.015767255572741105
cow,0.01,1.4406370414758056,0.7526748323584904,0.00018849679057894792,0.9839342237842853,0.008184998740180707
cow,0.02,3.2254335600679003,0.9996860268413931,0.0003558090051731517,0.9756766746364033,0.015656951548549316
duck,0.01,2.127587016604918,1.2024600748463408,0.0002631483821863919,0.9900474485514368,0.008394086547073803
duck,0.02,4.482843967631579,1.74463255204751,0.0002814660287709114,0.9773322262661682,0.01565975404418993
eight,0.01,1.6380037259254279,0.8562148160738152,0.0001263636240130419,0.9686919078698387,0.00788519597547014
eight,0.02,3.66033459247681,1.0871082998471675,0.0002275476709193561,0.9556317725230602,0.015565625317285281
elephant,0.01,1.473099934657213,0.7596712673606224,0.0001827072644826965,0.9740455501885196,0.007937897954780095
elephant,0.02,3.287035479330072,1.0614190770424197,0.0005212448316728166,0.9608987052996238,0.015331692142165974
elk,0.01,1.8635326844072688,1.0775975936439772,0.000251649607474307,0.9939507843269522,0.00807134066454938
elk,0.02,3.8564548974359463,1.4760342743973902,0.0005142857228623575,0.9718092952504526,0.015331421183545984
fandisk,0.01,1.6599582050589619,0.8777296206322651,0.00013993415571483624,0.9811211436802,0.008079913143678185
fandisk,0.02,3.583083633517469,1.1247976892084441,0.0003847286997072065,0.9756264419001306,0.015830218994130986
genus3,0.01,2.049611874179151,1.1369257477029926,0.00023484393179354633,0.9907391660615483,0.008257657359277366
genus3,0.02,4.33472516698993,1.6355149098890276,0.00027918100000872944,0.9730078007801473,0.015424620030920813
horse,0.01,1.2979985799929763,0.6336790929856345,0.0001661528566606721,0.9889485491917873,0.007957724684863927
horse,0.02,3.0661151078484754,0.8443662651786676,0.0002525903789057881,0.9535548164054317,0.015754539897471755
kitten,0.01,1.754950863581626,0.9642826151435828,9.153257515672722e-05,0.9820524431166038,0.007899364370820004
kitten,0.02,3.855219038927577,1.2884526328500954,0.0002456431601996783,0.9549498523873601,0.01569142682647902
moai,0.01,1.7641770175385045,1.011362124413797,0.00019010424997856155,0.9857566101753895,0.00812421197380138
moai,0.02,3.81202803406274,1.325063299044057,0.00039245412298279293,0.9580027043560042,0.015838872694024057
pig,0.01,1.7466903260470612,0.9492773855623886,0.00012453687947687781,0.9779672364266064,0.008024498761847661
pig,0.02,3.8147481699936856,1.2868360059863988,0.00025401827367915145,0.9711530492975882,0.015715837100869084
quadric,0.01,1.5453202610282877,0.8074249928467676,0.00023724840490048878,0.9878001821212017,0.00806461242539315
quadric,0.02,3.297131083041805,1.0581159250859158,0.00050307767767179,0.9731125372497823,0.015524125798049153
sculpt,0.01,2.6667896815548677,1.453122939564384,0.0007516759015167517,0.9708673671829036,0.00969793513650964
sculpt,0.02,6.143184301184444,3.082464255296231,0.00023520152944824394,0.9419485928255203,0.01577885205062422
star,0.01,2.214712985886283,1.2105738641831478,0.00027271475239305863,0.9822715598664019,0.008558276903987012
star,0.02,4.658439866748124,1.8690132534386679,0.00024875742281186755,0.9611184273211878,0.015444342176542392
