sigma,normals,median_s_over_sigma,floor_over_sigma,fa0,fa01,fa03
0.01,pilot,1.0212062751049302,0.8445115252663077,0.202,0.11383333333333333,0.019833333333333335
0.01,reused,0.9179443943500404,0.7533785676020773,0.22816666666666666,0.12833333333333333,0.0245
0.02,pilot,0.9728587002053362,0.8030371787084671,0.1985,0.09866666666666667,0.008333333333333333
0.02,reused,0.8384382287898704,0.6910164455000106,0.21133333333333335,0.11883333333333333,0.018
