baseline,md_2,p_2,wl_2,md_5,p_5,wl_5,md_10,p_10,wl_10,pooled_md,ci_lo,ci_hi
Bilateral,4.348001960806508,0.15625,4/4,9.139683371861759,0.00390625,8/0,19.522565518424354,0.00390625,8/0,11.003416950364207,8.271259004301516,13.991467894769066
MLS,63.11042300233029,0.00390625,8/0,7.0288195859670495,0.15625,4/4,4.680699609235281,0.00390625,8/0,24.93998073251087,11.14152914992179,40.85138685226501
WLOP,54.59803713114577,0.00390625,8/0,6.472153477404204,0.00390625,8/0,0.5596779866628139,0.2734375,5/3,20.543289531737596,7.980132240271588,36.33866608515802
Jet,63.78531288008846,0.00390625,8/0,9.668493593678859,0.00390625,8/0,6.416375224560978,0.00390625,8/0,26.623393899442767,13.46636546887553,42.419107426346145
GLR,108.90503763570922,0.00390625,8/0,17.469524941503092,0.09765625,5/3,1.5220955203776347,0.15625,4/4,42.63221936586332,18.577316442345815,70.11245615829554
CLOP,4.528015422480948,0.15625,4/4,9.332990523872663,0.00390625,8/0,19.511429291293403,0.00390625,8/0,11.124145079215673,8.296315761833737,14.090794312717957
Prior-v1,7.752022091179191,0.15625,4/4,8.366619811456571,0.00390625,8/0,20.117184098987025,0.00390625,8/0,12.078608667207597,9.213867093409577,15.296323875201352
