n,h,J_along_per_edge,J_cross_per_edge,ratio
2000,0.03496574488309234,0.38677862147968783,0.3320932261898912,0.8586131904586962
8000,0.01631393288348791,0.30433755932007517,0.24789073583459978,0.8145256089600507
32000,0.008503574016674351,0.30375811832164806,0.2388661958319491,0.7863697508786079
