regime,med,p95,p99,max,viol
plane-1.0ell,0.3998971285903189,0.9999999999999654,0.9999999999999735,0.9999999999999807,0.0
ALS-V1-5cm,0.09934542010125877,0.9999999999999573,0.9999999999999838,0.9999999999999953,0.0
MN-chair,0.3253456466978909,0.9999999999999222,0.9999999999999425,0.9999999999999524,0.0
